grid_size,total_samples,train_samples,training_time_sec,overall_rmse,overall_r2,overall_mae,overall_mape,spatial_min_rmse,spatial_max_rmse,spatial_mean_rmse,spatial_std_rmse,filename
50,2000,1400,2.907007932662964,756.4713686258722,-0.6309905469917707,642.001705879907,36.23746572889273,3.0237448794150623,2139.0232517767163,642.0017068908421,400.10341356473856,spatial_heatmap_grid_050.png
100,4000,2800,8.172482967376709,293.88658413412173,0.7146433272119603,210.92306280732114,13.523516847816037,0.4053448770750947,1265.748667554593,210.92306118232926,204.647957130761,spatial_heatmap_grid_100.png
150,6000,4200,12.348098993301392,238.21504660432635,0.8075547485558175,163.6887652284278,12.376319372512073,0.03781412358966918,1179.7828686345104,163.68876463050572,173.06760584216372,spatial_heatmap_grid_150.png
200,8000,5600,16.569709539413452,242.87408909836506,0.7657478611054911,158.86177405269797,11.53310211254357,0.02708055923937991,1270.475267554593,158.8617749335773,183.71380045348934,spatial_heatmap_grid_200.png
250,10000,7000,20.35515856742859,230.6603495237365,0.7407664663348961,156.8708673006922,12.962588634393466,0.02056382376235888,1239.082088422468,156.87086685749156,169.1027139100881,spatial_heatmap_grid_250.png
300,12000,8400,25.961562156677246,186.71067445633432,0.7913629302432877,122.19418416756558,10.795373458664988,0.06371847245168283,1259.599988422468,122.19418466268603,141.171730142299,spatial_heatmap_grid_300.png
400,16000,11200,32.827641010284424,163.41367611134032,0.8045019266250095,109.20902325826908,10.818028778249689,0.03076386199643366,1234.2192686345104,109.20902281328821,121.56240703853035,spatial_heatmap_grid_400.png
500,20000,14000,40.230173110961914,153.2587821536482,0.7584699737984741,109.72082126139162,13.073604630013747,0.011259622849365769,1160.695685287384,109.72082148970865,107.00278470051565,spatial_heatmap_grid_500.png
600,24000,16800,48.661673069000244,119.61932242036337,0.8292568694815597,85.32695734116085,11.87773551676498,0.00075470673050404,1276.3957869010978,85.32695714785709,83.83372033149865,spatial_heatmap_grid_600.png
800,32000,22400,36.4713773727417,116.3468158368808,0.7959913654709583,75.58876259981395,11.053911758031425,0.027327520664812255,1393.4929753942633,75.58876268785492,88.4472752587627,spatial_heatmap_grid_800.png
